Generator type,Fuel,Year,Country,value
Other generators,Gas,2013,England,9864.7777
Other generators,Hydro natural flow,2013,England,62.3016
Other generators,Wind,2013,England,1587.4976
Other generators,Solar,2013,England,1783.0288
Other generators,Shoreline wave and tidal,2013,England,0.1816
Other generators,Bioenergy,2013,England,7154.4313
Other generators,Other fuels,2013,England,2200.3268
Other generators,Total other generators,2013,England,23488.5145
All generating companies,Fossil fuels,2013,England,175240.5503
All generating companies,Coal,2013,England,105514.1129
All generating companies,Oil,2013,England,1069.3898
All generating companies,Gas,2013,England,68657.0475
All generating companies,Nuclear,2013,England,47783.6924
All generating companies,Renewables,2013,England,32067.6972
All generating companies,Hydro natural flow,2013,England,81.8965
All generating companies,Wind,2013,England,14231.7693
All generating companies,Solar,2013,England,1783.0288
All generating companies,Shoreline wave and tidal,2013,England,0.1816
All generating companies,Bioenergy,2013,England,15970.821
All generating companies,Other fuels,2013,England,2722.4724
All generating companies,Pumped storage,2013,England,0
All generating companies,Total all generating companies,2013,England,257814.4123
Major power producers,Coal,2014,UK,100166.67
Major power producers,Oil,2014,UK,529.8451
Major power producers,Gas,2014,UK,88871.25
Major power producers,Nuclear,2014,UK,63747.9542
Major power producers,Hydro natural flow,2014,UK,4634.5018
Major power producers,Wind,2014,UK,26762.2652
Major power producers,Solar,2014,UK,NA
Major power producers,Bioenergy,2014,UK,12697.9057
Major power producers,Other fuels,2014,UK,528.0421
Major power producers,Hydro pumped storage,2014,UK,2883.48
Major power producers,Total major power producers,2014,UK,300821.9142
Other generators,Coal,2014,UK,72.18
Other generators,Oil,2014,UK,1390.21
Other generators,Gas,2014,UK,12020.93
Other generators,Hydro natural flow,2014,UK,1253.3
Other generators,Wind,2014,UK,5196.9794
Other generators,Solar,2014,UK,4054.1219
Other generators,Shoreline wave and tidal,2014,UK,2.2003
Other generators,Bioenergy,2014,UK,9921.119
Other generators,Other fuels,2014,UK,3363.04
Other generators,Total other generators,2014,UK,37274.0805
All generating companies,Fossil fuels,2014,UK,203051.0851
All generating companies,Coal,2014,UK,100238.85
All generating companies,Oil,2014,UK,1920.0551
All generating companies,Gas,2014,UK,100892.18
All generating companies,Nuclear,2014,UK,63747.9542
All generating companies,Renewables,2014,UK,64522.3933
All generating companies,Hydro natural flow,2014,UK,5887.8017
All generating companies,Wind,2014,UK,31959.2446
All generating companies,Solar,2014,UK,4054.1219
All generating companies,Shoreline wave and tidal,2014,UK,2.2003
All generating companies,Bioenergy,2014,UK,22619.0247
All generating companies,Other fuels,2014,UK,3891.0821
All generating companies,Pumped storage,2014,UK,2883.48
All generating companies,Total all generating companies,2014,UK,338095.9947
Major power producers,Coal,2014,Scotland,10156.7498
Major power producers,Oil,2014,Scotland,192.3315
Major power producers,Gas,2014,Scotland,880.3612
Major power producers,Nuclear,2014,Scotland,16633.2728
Major power producers,Hydro natural flow,2014,Scotland,4393.1958
Major power producers,Wind,2014,Scotland,9769.1163
Major power producers,Solar,2014,Scotland,NA
Major power producers,Bioenergy,2014,Scotland,645.2116
Major power producers,Other fuels,2014,Scotland,0
Major power producers,Hydro pumped storage,2014,Scotland,494.1319
Major power producers,Total major power producers,2014,Scotland,43164.3708
Other generators,Coal,2014,Scotland,0
Other generators,Oil,2014,Scotland,639.4644
Other generators,Gas,2014,Scotland,1842.8601
Other generators,Hydro natural flow,2014,Scotland,1090.4134
Other generators,Wind,2014,Scotland,1930.8957
Other generators,Solar,2014,Scotland,143.161
Other generators,Shoreline wave and tidal,2014,Scotland,2.1465
Other generators,Bioenergy,2014,Scotland,1070.9127
Other generators,Other fuels,2014,Scotland,157.8454
Other generators,Total other generators,2014,Scotland,6877.6991
All generating companies,Fossil fuels,2014,Scotland,13711.7669
All generating companies,Coal,2014,Scotland,10156.7498
All generating companies,Oil,2014,Scotland,831.7958
All generating companies,Gas,2014,Scotland,2723.2213
All generating companies,Nuclear,2014,Scotland,16633.2728
All generating companies,Renewables,2014,Scotland,19045.0529
All generating companies,Hydro natural flow,2014,Scotland,5483.6092
All generating companies,Wind,2014,Scotland,11700.012
All generating companies,Solar,2014,Scotland,143.161
All generating companies,Shoreline wave and tidal,2014,Scotland,2.1465
All generating companies,Bioenergy,2014,Scotland,1716.1242
All generating companies,Other fuels,2014,Scotland,157.8454
All generating companies,Pumped storage,2014,Scotland,494.1319
All generating companies,Total all generating companies,2014,Scotland,50042.07
Major power producers,Coal,2014,Wales,7368.2757
Major power producers,Oil,2014,Wales,147.6188
Major power producers,Gas,2014,Wales,18512.9994
Major power producers,Nuclear,2014,Wales,1953.0707
Major power producers,Hydro natural flow,2014,Wales,213.427
Major power producers,Wind,2014,Wales,1701.7897
Major power producers,Solar,2014,Wales,NA
Major power producers,Bioenergy,2014,Wales,0
Major power producers,Other fuels,2014,Wales,0
Major power producers,Hydro pumped storage,2014,Wales,2389.3481
Major power producers,Total major power producers,2014,Wales,32286.5294
Other generators,Coal,2014,Wales,0
Other generators,Oil,2014,Wales,43.1662
Other generators,Gas,2014,Wales,852.9879
Other generators,Hydro natural flow,2014,Wales,64.0588
Other generators,Wind,2014,Wales,588.9968
Other generators,Solar,2014,Wales,234.9144
Other generators,Shoreline wave and tidal,2014,Wales,0
Other generators,Bioenergy,2014,Wales,576.6245
Other generators,Other fuels,2014,Wales,620.9611
Other generators,Total other generators,2014,Wales,2981.7097
All generating companies,Fossil fuels,2014,Wales,26925.0479
All generating companies,Coal,2014,Wales,7368.2757
All generating companies,Oil,2014,Wales,190.7849
All generating companies,Gas,2014,Wales,19365.9873
All generating companies,Nuclear,2014,Wales,1953.0707
All generating companies,Renewables,2014,Wales,3379.8113
All generating companies,Hydro natural flow,2014,Wales,277.4858
All generating companies,Wind,2014,Wales,2290.7865
All generating companies,Solar,2014,Wales,234.9144
All generating companies,Shoreline wave and tidal,2014,Wales,0
All generating companies,Bioenergy,2014,Wales,576.6245
All generating companies,Other fuels,2014,Wales,620.9611
All generating companies,Pumped storage,2014,Wales,2389.3481
All generating companies,Total all generating companies,2014,Wales,35268.2391
Major power producers,Coal,2014,Nothern Ireland,2159.9336
Major power producers,Oil,2014,Nothern Ireland,24.0689
Major power producers,Gas,2014,Nothern Ireland,3816.9578
Major power producers,Nuclear,2014,Nothern Ireland,0
Major power producers,Hydro natural flow,2014,Nothern Ireland,0
Major power producers,Wind,2014,Nothern Ireland,659.6732
Major power producers,Solar,2014,Nothern Ireland,NA
Major power producers,Bioenergy,2014,Nothern Ireland,0
Major power producers,Other fuels,2014,Nothern Ireland,0
Major power producers,Hydro pumped storage,2014,Nothern Ireland,0
Major power producers,Total major power producers,2014,Nothern Ireland,6660.6335
