"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2022"	"S12000006"	"Dumfries and Galloway"	2127.357562	0	325.81937	14.321001	0	380.090623	2847.588556
"2022"	"S12000042"	"Dundee City"	0.080708	0	0	5.111642	0	0	5.19235
"2022"	"S12000008"	"East Ayrshire"	808.635933	0	1.771161	6.195847	0	0	816.602942
"2022"	"S12000045"	"East Dunbartonshire"	0	0	0	3.074198	0	0	3.074198
"2022"	"S12000010"	"East Lothian"	617.401875	0	0	9.278858	0	0	626.680733
"2022"	"S12000011"	"East Renfrewshire"	817.816184	0	0	3.023605	0	0	820.839789
"2022"	"S12000014"	"Falkirk"	103.166689	0	3.026122	5.866688	0	0	112.059499
"2022"	"S12000047"	"Fife"	215.394447	0	3.884617	35.451225	0	480.324759	735.055049
"2022"	"S12000049"	"Glasgow City"	7.910151	0	0	14.049565	0	44.72886	66.688576
"2022"	"S12000017"	"Highland"	5140.342446	0	2948.383032	20.123919	0	204.195705	8313.045103
